ID	Content	A	B	C	D
65	Give her a telephone number to ring __ she gets lost.	whether	in case	unless	perhaps
66	His parents never  allowed him __.	a smoking	smoking	to smoke	some smoked
67	Derek is only interested __ making money.	for	about	in	on
68	He was very upset by the  __ of his English examination.	result	failure	effect	success
69	The Government's action  caused the rate of inflation to __ sharply.	lift	raise	advance	rise
70	They were such good friends.  I was surprised when they __.	fell  down	fell off	fell out	fell over
71	I  had to leave early __ I didn't feel very well.	too	however	because	also
72	"After  closing the envelope, the secretary __ the stamps on firmly."	licked	sucked	stuck	struck
73	Don't be so sure  __ yourself!	on	from	of	at
74	This diary  will prove useful __ you.	to	for	at	on
75	You should not be so sensitive __ criticism.	at	in	on	to
76	I am not familiar  __ his novels and not very keen on reading them.	about	with	from	for
77	"If you want to  attend a course, you should study the college __ for full particulars of  enrolment."	prospect	prospects	prospectus	syllabus
78	An historical novel is a form of __ which may  include many facts.	legend	fiction	fantasy	short  story
79	The relationship that matters most in the life of a  __ is the one between him and his constituency party.	captain	politician	manager	judge
80	The  mysterious case of the missing millionaire has become the __ of  considerable interest in the press over the last few week.	middle	target	pin-point	focus
81	English people are thought __ less friendly  than people from the Mediterranean.	to be	been	be	being
82	"- Mary: Would you give this  note to Mr Tomlinson, please? - Ross: Sorry, I can't. He doesn't __."	any more work  here	any longer work here	work any more here	work here any  longer
83	"A few days after hitting his arm, he had a large black  __."	break	cut	swelling	bruise
84	This is  not the right __ to ask for my help; I am far too busy even to listen!	moment	situation	opportunity	circumstance
85	"I  hadn't see George for years, but when I saw him in the street, I __ him at  once."	reminded	realized	remarked	remembered
86	The  cat was so frightened that it ran __ the bed to hide.	beside	along	inside	under
87	He was unable to __ his  niece's wedding as he was ill.	be present	visit	attend	assist
88	She  bought red shoes to __ her red dress and handbag.	pair	match	equal	mate
89	We'll have to __ the  meeting until next week because no one can come tomorrow.	put down	put  off	put on	put round
90	I am not sure __  the green coat is.	who's	who	whose	whom
91	I don't  think I'll beat him. I'm out of __.	fitness	game	play	practice
92	"He is a very  __ person, but he has absolutely no sense of humour."	amusing	entertaining	enjoyable	pleasant
93	The  school arranges a __ to Brighton every year.	rout	trip	passage	travel
94	Beware  __ people who appear to be enthusiastic about your success.	from	at	by	of
95	"If you fail __  this attempt, don't count on me for help."	on	in	at	by
96	I separated them  __ each other because they were fighting.	against	of	off	from
97	I have to leave  before seven and so __.	leave you	you have	you  do	do you
98	There were no lifeboats on the ship because it  was __ to be unsinkable.	argued	claimed	believed	told
99	"This church was __ by the famous  architect, Archbald Sparrow."	outlined	designed	produced	composed
100	Jane is plain but her sister is very  __.	sympathetic	sophisticated	complex	attractive
101	Her husband treated her badly. I'm surprised she  __ it for so long.	put up with	put off	put through	put up
102	The bank  manager __ me to open a deposit account as soon as possible.	warned	advised	suggested	approved
103	Oxfam tries to send food  to countries where people are suffering __ malnutrition.	for	by	from	of
104	"If students are to understand  the notice, the instructions must be __ clearer."	wrote	made	got	done
105	"__ you like what I want  to do or not, you won't make me change my mind."	Whether	When	Because	If
106	Doctors usually have to study  for at least seven years before becoming fully __.	tested	qualified	examined	proved
107	The weather was warm and  pleasant with __ a gentle wind to cool us down.	but	just	almost	nearly
108	I wish you wouldn't __  your clothes all over the floor.	stray	sprawl	scatter	straggle
109	"__ he had no money for a bus, he had to walk all the way home."	For	Thus	So	As
110	He didn't want to make up his  mind until he had heard Pamela's __ of the story.	side	angle	aspect	edge
111	It is  strange that Lucy is as __ as her mother is beautiful.	dull	plain	humble	raw
112	Since the  accident he has walked with a __.	slope	limp	lame	strain
113	"We flew to the  island, then __ a car for three days and visited most places of interest."	lent	bought	hired	charged
114	"In America,  surgeons have given a man a(n) __ heart."	unreal	false	pretend	artificial
115	The examiners had to __ half the candidates.	fire	fail	foil	fall
116	The company made a  record __ last year.	benefit	earn	profit	wage
117	We must  economize __ fuel.	with	from	on	in
118	"When he  finally understood what she was saying, everything __."	fell into  place	fell in place	fell into the place	fell off the  place
119	I had to give a full __ of my camera when I reported  it stolen.	account	detail	information	description
120	Jim's version of the  facts doesn't __ with the version I heard from Jules.	argue	amount	accord	arrive
121	- Grace: I wish your parents invite us for  holiday. - Monty: They can't. They have __ to accommodate us and the  children too.	such a small house	a too small house	very small a  house	too small a house
122	"When they had __ the new  carpet, the workmen went back to the office."	laid	lain	lied	been lying
123	It will __ be  Christmas.	soon	fast	quick	next
124	"Do be  careful not to __ your coffee on this white rug, Bill."	drip	spill	filter	leak
125	She had to leave her family  __ when she went abroad to work.	at a loss	behind	out	at all costs
126	Metal __ at high  temperatures.	grows	increases	enlarges	expands
127	"Because of the poor harvest, wheat prices have __ in  the last six months."	grown up	gone up	jumped up	sprung up
128	I'm  __ worried about Jane; she always seems to be tired.	as	so	such	too
129	I have difficulty __  without glasses these days.	to read	in reading	read	of  reading
130	Our guest of honour arrived rather late. The party was  already __.	in full swing	at full tilt	in full  bloom	to the full
131	"My brother plays his records __ in  his room at night, and nobody can get enough sleep."	at full  tilt	in full swing	at full blast	in full cry
132	It's most unwise to __ in a quarrel between a man and his wife.	involve	poke	mix	interfere
133	I will  __ the idea with the other teachers and see what they think about it.	explain	argue	discuss	talk
134	The  farmer was very angry __ the dogs chasing his sheep.	for	with	because	about
135	I think  he's quite honest __ his intentions.	about	with	in	on
136	Dick will be waiting  __ them at the entrance door.	for	on	to	at
137	It's no use  complaining __ the cold.	on	in	from	of
138	Furniture manufacturers are now __ of the latest credit  restrictions.	feeling the pinch	smelling the rat	cooking the  books	feeling the smell
139	"Jazz is an American art form which  is now __ in Europe through the determined efforts of __ in France,  Scandinavia, and Germany."	foundering...governments	diminishing...musicians	waning...novices	flourishing...expatriates
140	She was __ disappointed when she  learned that she had not got the job.	gravely	fully	highly	bitterly
141	They have __ the old castle and it is now a  luxury hotel.	transformed	undone	remade	constructed
142	I  __ so much last night: I feel terrible.	shouldn't have  eaten	mustn't have eaten	needn't have eaten	didn't have to  eat
143	He stole one of the officers' uniforms and managed to escape  by passing himself __ as a guard.	by	out	through	off
144	"__ we set off in the next  few minutes, we'll be there in time."	Provided	Supposing	In case	So long
145	"If he drinks any more beer,  I don't think he'll be __ to play this afternoon."	skilled	capable	possible	fit
146	My employer's __ of my  work does not matter to me at all.	meaning	belief	opinion	expression
147	The  recent __ violence is worrying the police.	increase  with	increase of	increase in	increase about
148	We're in good time; there's __ to hurry.	unnecessary	no  purpose	no need	impossible
149	The police __ the  kidnapper from escaping by blocking all exits.	prevented	encouraged	allowed	avoided
150	This meat isn't suitable  __.	the grill	to grilling	for  grilling	being grilled
151	A railway bridge is already __  over the river.	been erected	erecting	in  construction	being built
152	The pictures is  __; the thief will be most disappointed when he tries to sell it!	priceless	invalid	unprofitable	worthless
153	"Even though he is thirty-five, he lives __ his mother and is completely  dependent on her."	at	by	on	from
154	"It  should be obvious __ you that if you persist in bothering him, he will get  angry with you."	for	to	at	on
155	He often  forgets to do what he has been told and is scolded for being __.	disobedient	rebellious	impertinent	malicious
156	The room is quite hot.  The oil heater gives __.	out a good heat	off a good  heat	out good heat	off good heat
157	In the middle of  our trip we stopped __ a rest on the river bank.	have	had	having	to have
158	"The  judge, after ruling that the article had unjustly __ the reputation of the  architect, ordered the magazine to __ its libelous statements in print."	praised...communicate	injured...retract	sullied...publicize	damaged...disseminate
159	When he  heard the news he went completely __.	roof	fuse	spare	thunder
160	I won't __  those children making a noise in my house!	allow	have	let	permit
161	I can't understand how your father managed to  __ that man. He had deceived all the rest of us.	see against	see  through	see to	see out
162	Our car is much older  __ than yours.	model	pattern	manufacture	form
163	I __  in bed all night thinking about it.	laid	lay	led	lied
164	"According to the doctor,  there's absolutely nothing the __ with you."	wrong	problem	matter	illness
165	I looked everywhere but I  couldn't find __ at all.	anyone	no one	someone	somebody
166	It was  __ a simple question that everyone answered it correctly.	so	such	much	too
167	"I'm sorry, but I like my eggs  soft __, not hard."	cooked	steamed	boiled	watered
168	John was  amazed when the train arrived exactly __ time.	at	in	on	by
169	I'd like to take this __  of wishing you all the best of luck with your exams.	chance	possibility	occasion	opportunity
170	Learners of English as  a foreign language often fail to __ between unfamiliar sounds in that  language.	separate	differ	distinguish	solve
171	"__ my opinion,  French cheese is better than English cheese."	In	To	By	For
172	Father would not  __ us to go there for the weekend.	let	permit	agree	consent
173	Every day the  old man's dog goes to the shop to __ him a newspaper.	carry	fetch	take	bring
174	"- Rex: It's  already half-past six. - Hal: Good heavens, so it is! It's time we __."	are  gone	are going	were gone	shall go
175	I  drove around the town for half an hour but couldn't find a car __.	park	garage	plan	parking
176	The smell was so  bad that it completely __ us off our food.	set	took	got	put
177	Although he hasn't  said anything he __ to be upset about it.	acts	shows	behaves	seems
178	"It's  strange. His sister are blonde, __ he is very dark."	therefore	in order to	whereas	however
179	We  very much __ that you will come to dinner next Friday.	wish	want	like	hope
180	Crops are often  completely destroyed by __ of locusts.	bands	troupes	swarms	flocks
181	There's something wrong with my watch: it's  __ fifteen minutes in the last twelve hours.	won	progressed	advanced	gained
182	"If you are __ to  customers, they'll walk out of the shop."	brush	rough	rude	rusty
183	The air in the house felt  cold and __ after weeks of bad weather.	wet	moist	damp	watery
184	Is it worth waiting for a  table at this restaurant or shall we go __ else?	anywhere	otherwise	somewhere	everywhere
185	Children who go up  escalators should always be accompanied __ an adult.	with	beside	from	by
186	I took someone else's coat from  the cloakroom by __.	mistake	fortune	error	forgetfulness
187	How long does it usually __ to get home in the evening?	need	need  you	take you	demand
188	It is becoming more and more  __ that the Government has lost the confidence of the nation.	understood	apparent	anticipated	expected
189	You need a special  __ to go into this part of the building.	permission	allowance	permit	agreement
190	"I don't like him, so I  have no intention __ speaking to him."	about	with	in	of
191	We had to drive  carefully because the road was icy in several __.	blocks	places	pieces	bits
192	Don't  invite John to dinner; I can't stand his bad __.	mood	mind	character	temper
193	"Not  only __ the film, but he had read the book as well."	he did  see	had he seen	has he seen	he saw
194	I'm  sorry I'm so late; we had a meeting at work which went __ much longer than  we expected.	on	in	by	up
195	He  __ me to take a lawyer to court with me.	advised	suggested	threatened	insisted
196	Poor  Mary! She has so much to cope __.	to	in	with	by
197	He has always gone  __ strange hobbies like collecting bottle-tops and inventing secret codes.	into	by	in for	through
198	"As he  is an expert on pottery, his opinions would be worth __."	to  have	having	of having	to have had
199	Nowhere __ the bathrooms.	is it as cold as	is as cold as  in	it is as cold as in	is so cold
200	There's just  something about him that really puts my __ up. I can't stand being in the  same room as him.	back	handle	teeth	fit
201	The explorers walked all the way along the river  from its mouth to its __.	cause	well	source	outlet
202	"He soon  received promotion, for his superiors realised that he was a man of considerable  __."	ability	possibility	future	opportunity
203	It is __ knowledge in the village that Mr and  Mrs Thorne quarrel violently several times a week.	common	complete	normal	usual
204	"After Joe's mother died, he  was __ up by his grandmother."	brought	taken	grown	drawn
205	Why don't you do something  worthwhile with your time instead of __ it!	spending	using	wasting	passing
206	The police have issued  __ to local shopkeepers to be on the lookout for thieves.	complaints	warnings	advice	information
207	"If you require any more  __ about the holiday, please telephone us."	description	information	news	fact
208	Wait __ you get home  before you unpack your parcel.	to	until	when	after
209	The  students __ names appear on the list all passed the exam.	which	their	who	whose
210	"When the police appealed for  witnesses, several people came __."	forward	out	across	on
211	"Before you  take on the job, will you give me a rough __ of how much it will cost?"	esteem	estimate	realisation	value
212	"I do  play squash, but I __ tennis."	like	would rather	choose	prefer
213	The  travel agent gave me __ useful information.	a	one	the	some
214	One of the __  has fallen off the church clock.	arms	fingers	pointers	hands
215	How old do you have to be __ you can drive a car?	when	before	until	since
216	I'll let you have  it back next Monday without __.	doubt	fail	miss	neglect
217	"__ I ask  him for money he owes me, he says he will bring it in a few days, but I don't  think he has got it at all."	Whatever	However	Whenever	Wherever
218	I __ to inform you that we cannot  exchange articles once they have left the shop.	regret	resent	respect	sense
219	Don't  blame him for this; I am responsible __ what has happened.	with	for	to	by
220	He has to arrange for  the __ of his furniture before he goes abroad.	sale	sole	seal	veil
221	The little girl wouldn't go into the sea __  her father went too.	except	but	also	unless
222	The  __ part of the week is always busy for me.	front	start	early	near
223	She __ to take her  neighbour to court if he didn't stop making so much noise.	promised	threatened	offered	suggested
224	You mustn't be angry with  her. It wasn't her __ that she was late.	blame	error	mistake	fault
225	"He sat there with his arms  __ doing nothing, waiting for us."	folded	flapped	turned	twisted
226	Our neighbours __  their hedge cut once a year.	make	do	have	fix
227	I could tell  he was pleased __ the expression on his face.	at	for	in	by
228	"Tom always calls himself Tom  Williams, but his __ surname is Winterbottom."	natural	present	current	real
229	If you keep trying you might  __ to do it.	succeed	discover	understand	manage
230	Joan's  third child was born in the ambulance __ to the hospital.	in the  way	by the way	on the way	a long way
231	"The meeting, ladies and gentlemen, is now __."	at an  end	at the end	on end	to the end
232	They promised to write __ we never heard from them again.	but	except	although	because
233	I  __ to him for my bad behaviour.	apologised	coped	excused	forgave
234	Ever  __ he was in junior school Nicholas has wanted to become a doctor.	after	always	next	since
235	"It was on the top  shelf, out of __."	achievement	arrival	attempt	reach
236	"Computers are supposed to __ time, but I'm not so  sure they do!"	spare	save	spend	waste
237	I  didn't mean to do it; it was __ accident.	by	in	for	on
238	"Her acceptance speech  was __, eliciting thunderous applause at several points."	tedious	well-received	cowardly	uninteresting
239	a wild goose chase = __.	a very pleasant experience	a wild night on  the town	a dangerous race in the streets between cars trying  to	a search for something that cannot be found
240	"You could  have avoided risking __, General Brown."	the life of  your soldiers	the lives of your soldiers	your soldiers'  life	the life of your soldiers'
241	__ goes the bus; now we will have to walk!	On  time	At once	There	Early
242	She is very important  to him. He wouldn't get __ without her.	over	by	down	round
243	The Blackhams live in the  house __ the blue door.	with	where	whose	which
244	I phoned  the bank to __ how much money there was in my account.	control	inspect	test	check
245	"Her parents give her anything  she asks for, and as a result, she's very __."	ruined	damaged	harmed	spoilt
246	__ I am studying at  university and I hope to get a job very soon.	In a moment	At this  instant	At present	In the present
247	The new secretary in  the sales department is a fast typist but her letters are full of spelling  __.	wrongs	faults	tricks	mistakes
248	The  police have asked that __ who saw the accident should get in touch with  them.	somebody	someone	one	anyone
249	If the  greengrocer has some bananas __ buy some please?	you should	would  you	you will	shall you
250	I would like to offer a  small __ to anyone who finds my missing dog.	receipt	repayment	expense	reward
251	The  Prime Minister has __ to win the last three General Elections.	managed	succeeded	achieved	attained
252	You  __ do the washing-up: I can easily do it later.	needn't	daren't	wouldn't	mightn't
253	People demand higher wages because prices are __ all the time.	rising	progressing	growing	exceeding
254	You  must be careful when you wash this __ silk blouse.	weak	sensitive	delicate	feeble
255	My  father always falls __ in front of the television.	sleepy	asleep	sleeping	sleep
256	You can  never rely __ him to be punctual.	of	with	at	on
257	Are you interested  __ music?	on	in	at	of
258	You must  reply __ his letter.	at	for	to	on
259	I shall  certainly act __ your advice.	with	on	at	to
260	"as sound as __  = healthy, in good condition (also said of machines)."	steel	a bell	a white monkey	money
261	Buy the new __ of soap now on sale: it is  softer than others!	model	brand	mark	manufacture
262	My  uncle took __ golf when he retired from work.	on	up	over	after
263	There has been a rather  worrying __ ten per cent in our profits this year.	drop of	drop  in	fall in	fall with
264	"__ you hurry, you  won't catch the bus."	As	Although	Except	Unless
265	"The  customer, who was shouting at the top of his voice, __ his money back."	appealed	asked	requested	demanded
266	I  __ him to go to the Lost Property office to see if his umbrella had been  found.	advertised	advised	announced	noticed
267	I  couldn't resist having another slice of cake even __ I was supposed to be  losing weight.	although	however	otherwise	though
268	These old  houses are going to be __ soon.	laid out	run  down	pulled down	knocked out
269	"__ as I like  ice-cream, I couldn't eat any more now, thank you."	So	Although	Even	Much
270	"You may borrow as many books  as you like, provided you show them to __ is at the desk."	whoever	who	whom	which
271	"What do you mean,  he's watching television? He's __ to be washing the car."	supposed	hoped	expected	thought
272	"She  was angry with me for breaking the plate, but it happened quite __  accident."	in	by	with	on
273	The hall  was very crowded with over fifty people __ into it.	pushed	packed	stuck	stuffed
274	Beware of the  people who appear to be enthusiastic __ your success.	of	with	about	of
275	They want to watch a  football game __ TV.	on	in	at	by
276	__  to leave early is rarely granted.	allowance	permission	leave	the privilege
277	"__, they didn't laugh at me."	To my  surprise	For my surprise	As to surprise me	At my  surprise
278	"If you had gone there last year, you __ my  brother."	would have met	would meet	had met	met
279	I never go in lifts because I am terrified of __  spaces.	contained	constricted	confined	compressed
280	It never __ to me that he would be here.	recurred	occured	thought	contemplated
281	"The shop assistant was __ helpful, but she  felt he could have given her more advice."	entirely	exactly	quite	totally
282	The meal was excellent; the  pears were particularly __.	flavoured	delicious	tasteful	desirable
283	"Are there any seats left for this evening's __ of  ""Carmen""?"	act	acting	opera	performance
284	"Having __ the table, Mrs Roberts called the family for supper."	laid	spread	ordered	completed
285	"As I have been ill, I  have had no __ to discuss the plan."	possibility	suitability	opportunity	ability
286	He __ to turn up for  the football match.	omitted	neglected	stopped	failed
287	"The shop assistant was __ helpful, but she felt he  could have given her more advice."	exactly	entirely	quite	totally
288	There  are three lawyers in our town and I have consulted __ of them in turn.	each	every	any	other
289	The course was so  difficult that I didn't __ any progress at all.	make	do	create	produce
290	I'm tired of looking at  ancient __. Let's go to somewhere modern.	foundations	remnants	ruins	constructions
291	My car's gone: it must __.	be  stolen	have stolen	have been stealing	have been  stolen
292	We'd better hurry. There's a __ to Uncle Timothy's  patience.	top	bottom	border	limit
293	I __ hands with him when I was introduced to him.	gave	greeted	nodded	shook
294	They  had a great __ of trouble getting through customs.	lot	level	quantity	deal
295	Rose  trees need to be __ regularly.	pruned	cut	snipped	clipped
296	Whatever made you think __ such a thing?	on	of	at	to
297	I would go to the  seaside if the weather __ good.	were	is	has been	will be
298	I  rang you up while Jack __ his lessons.	was  finishing	has been finishing	finished	has finished
299	The bus __ from High Street to the Station Road is 30p.	cost	fare	payment	charge
300	"Before  the invention of refrigeration, the __ of fish and meat was a problem."	keeping	preservation	treatment	maintenance
301	"- Joan: Could I have another spoonful of your  delightful pudding? - Maud: Oh dear, there doesn't seem to be __."	some left	any  left	left any	leaving some
302	I shall go on working  on the farm __ I can.	through	as long as	during	in the  meantime
303	"Yes, sir. I'll ask Mr Smith to __ to you as soon as  he returns."	ring	speak	call	contact
304	A camera  works by letting light through a small __ at the front.	crack	leak	hole	break
305	You will have to __  your holiday if you are too ill to travel.	call off	cut  down	back out	put aside
306	If we go to the market we  might find a __.	shopping	chance	bargain	trade
307	The plane  was __ by two hours because of bad weather.	delayed	postponed	put off	rearranged
308	"Our guests didn't leave  until 2 a.m., so they __ have enjoyed themselves."	must	can't	may	might
309	Eve was sitting just __  Peter and Harry.	besides	amongst	beside	off
310	She  remembered the correct address only __ she had posted the letter.	since	afterwards	following	after
311	I have  never __ any experience of living in the country.	had	wished	done	made
312	Could you lend me  some money? I'm very __ of cash at the moment.	down	scarce	short	empty
313	The __ were  told to fasten their seat belts as the plane began its descent.	customers	riders	flyers	passengers
314	There are __ trains running today because of the go-slow.	fewer	less	little	scarcer
315	She  isn't __ well with the new manager.	getting  on	going on	keeping on	taking on
316	Has  it ever occured __ you that those twins are quite different from each  other in many ways?	to	at	for	on
317	I'm  __ with your stupid questions.	fed  up	get rid	through	fed over
318	"If  they had been able __ it for you, they would have done it."	do	to do	doing	is doing
319	The police  carried out a __ search for the missing diplomat.	thorough	through	throughout	thoughful
320	Fitting together the thousands of fragments of the broken vase was a long and  __ task.	minute	careful	painstaking	minuscule
321	It will __ rain later so we should go and  have our picnic now.	preferably	probably	likely	usually
322	I would  have cleaned the house if I __ you were coming.	knew	would have  known	had known	have known
323	Dave and I have __  to meet at the bus station at 9 o'clock.	confirmed	combined	appointed	arranged
324	There is always __  traffic in the city centre at rush hour.	strong	full	heavy	many
325	He's a nice man but he's  __ to drink too much at parties.	adequate	apt	common	probable
326	"We must get there __  or other. If there are no buses, we'll have to take a taxi."	anyhow	anyway	anywhere	somehow
327	Mrs Townsend was left to  make all the __ for the outing herself.	provisions	procedures	organizations	arrangements
328	She __ type at  40 words per minute.	need	ought	dare	can
329	- Hilary: I  shan't be more than five or ten minutes now. - Alfred: All right. I'll wait over  there until __ ready.	you will be	you are	you were	you're going to  be
330	"You must move your car at once, Madam; __ I shall have  to give you a ticket."	therefore	otherwise	consequently	whether
331	A manager of a large  international company is often given a big __.	pay	money	salary	wage
332	The law  states that heavy goods delivery vehicles may not carry __ of more than  fifteen tons.	masses	sizes	measures	loads
333	After  the water workers went on strike there was a __ of water.	drain	shortage	loss	decrease
334	"He's entitled  to a pension, but he won't dream __ retiring yet."	on	to	of	off
335	Mix the contents of  this packet __ a little water.	of	to	with	at
336	You can try __  if you want to improve your English.	listening to  BBC	listening at BBC	to listening to BBC	to listen at  BBC
337	His __ of Richard III was acclaimed as one of the best  by any actor.	performance	entertainment	portrayal	spectacle
338	The army __ defeat at the hands of its enemies.	suffered	tolerated	bore	supported
339	Their accounts  were completely phony. They had been cooking the __ for years.	spinner	books	trade	killing
340	Some practical  __ is desireable for candidates interested in applying for this job.	exploit	adventure	initiative	experience
341	He opened the letter without __ to read the  address on the envelope.	worrying	caring	fearing	bothering
342	- Fay:  The headmistress wants you in her study. - Ivy: She's here already. I didn't  think she __ till tomorrow.	will be coming	was coming	is coming	is to  come
343	If you have any __ concerning this report please  telephone the Planning Office.	queries	requests	investigations	wishes
344	Could you please __ exactly what you saw?	inform	point	advise	describe
345	"Look, Mother! James has  brought you a __ of flowers."	branch	bucket	bunch	bush
346	She gets  very angry with her son because he seems to be incapable __ keeping his  room tidy.	of	at	to	with
347	In the  summer we often sleep in the __ air on our terrace.	clear	clean	open	full
348	What a beautiful dress! It  __ you perfectly.	goes	likes	matches	suits
349	I bought  the hat because the colours __ the colours of the coat.	agree	match	fit	suit
350	To promote him so quickly you  must have a very high __ of his ability.	view	opinion	idea	feeling
351	It's no use  waiting for him any longer. We __ as well go without him.	can	just	may	must
352	He __ out of  the window for a moment and then went on working.	glanced	glimpsed	regarded	saw
353	You  should always keep receipts from shops as proof __ purchase.	to	of	by	for
354	"Please don't mention  it __ my husband, but I paid $10 for this hat."	at	to	for	with
355	I knocked __  the door.	on	at	for	to
356	"You must  have __ the examination before Friday, so bring your money to the office  as soon as possible."	passed	entered for	sat for	enrolled  for
357	They __ for you for more than two hours now.	have  waited	have been waiting	wait	waits
358	I would have come  home earlier if you __ me to help you with the housework.	have  told	had told	told	tell
359	Petrol in this  country is so expensive __ we use public transport as much as possible.	then	that	thus	than
360	There has been some  __ in the relations between those two countries recently.	deterioration	decomposition	destitution	depreciation
361	They all take too much __ of his kindness  and generosity.	profit	advantage	benefit	use
362	"Don't worry about trying to catch last train home, as we can easily __ you  up for the night."	take	put	set	keep
363	"Our car is  very old, but I can't __ to buy a new one."	succeed	achieve	reach	afford
364	"It was terrible. One  passenger was killed, and the other was __ injured."	hardly	completely	severely	unusually
365	After several years their  bedroom wallpaper had considerably __.	lighted	melted	faded	mixed
