Type	Content	A	B	C	D	Key	Ngram 1	IsCover	Ngram 2	IsCover	Ngram 3	IsCover	Ngram 4	IsCover	1	2	3	4	1	2	3	4	
Level_A	-  Which of the two boys is a boy scout?      -  __ of them is.	All	None	Neither	Both	2	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	My cousin __ bank manager.	is a	makes	is	he is	0	2	TRUE	0	FALSE	1	FALSE	1	FALSE	FALSE	TRUE	FALSE	FALSE					
Level_A	Claude is __.	Frenchman	a  French	a Frenchman	French man	2	1	TRUE	1	FALSE	0	FALSE	0	TRUE	FALSE	FALSE	FALSE	FALSE					
Level_A	She smokes __.	very  heavily	much	very heavy	lot	0	1	TRUE	1	FALSE	1	FALSE	1	TRUE	FALSE	FALSE	FALSE	FALSE					
Level_A	She's  talking to you. Please listen to __.	she	hers	her	him	2	0	TRUE	2	FALSE	3	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE					
Level_A	This isn't Bob's car. __  is a sports car.	He	His	He's	My	1	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Jack and Tom  __ go to school yesterday.	doesn't	don't	didn't	aren't	2	1	TRUE	1	FALSE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Jack  always __ to his office by car.	is going	goes	go	has gone	1	2	TRUE	2	FALSE	2	FALSE	1	FALSE	FALSE	FALSE	FALSE	TRUE					
Level_A	__ tall are you?	which	what	when	how	3	0	TRUE	2	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	I speak French __  Jenny.	more well that	better than	more good  than	better as	1	3	TRUE	1	FALSE	1	FALSE	1	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	Mirana remembered to phone the doctor. =  __	She remembered phoning the doctor.	Mirana forgot to remember to  phone.	She didn't forget to phone the doctor.	She remembered  that she phoned her.	2	0	FALSE	2	FALSE	0	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE					
Level_A	These are my __ three children.	brother  Tim's	Tim's brother	brother Tim	brother is  Tim	0	2	TRUE	2	FALSE	2	FALSE	2	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	- What would you like for your birthday? - __ will do.	Anything	None	Something	Somebody	0	2	TRUE	2	FALSE	2	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE					
Level_A	-  What 's your proposal? - I propose that the meeting __ .	is  postponing	be postponed	to be  postponed	postpones	1	1	TRUE	3	FALSE	3	FALSE	3	FALSE	TRUE	FALSE	FALSE	FALSE					
Level_A	"""Here's the money I promised,"" he said. ""I  always __ my promises."""	agree	follow	make	keep	3	2	TRUE	2	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	The boy suffered __ a very bad headache.	of	from	by	at	1	0	TRUE	1	FALSE	0	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE					
Level_A	Always __  honest in whatever you do.	to be	be	are	is	1	3	TRUE	1	TRUE	1	FALSE	1	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	Did you  __ your pocketbook?	lose	loosen	loose	miss	0	0	TRUE	0	FALSE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	I preferred that she __ here.	stayed	has stayed	staying	stay	3	3	TRUE	3	FALSE	0	FALSE	0	FALSE	TRUE	TRUE	FALSE	FALSE					
Level_A	"If you  had locked the gate properly, the robbers __ into the house."	would not  break	should not break	should not have break	would not have  broken	3	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"- Your friend speaks English very well, doesn't she? -  Yes, she __ English since she was a little girl."	has been  speaking	spoken	used to speak	has to speak	0	1	TRUE	1	FALSE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	It is __ question.	not hard	a  easy	an easy	not an hard	2	1	TRUE	2	FALSE	2	FALSE	1	FALSE	FALSE	TRUE	TRUE	FALSE					
Level_A	- __? - Ten past  three.	What's the time	What's the hour	What our are  they	How the time	0	3	TRUE	3	FALSE	3	FALSE	3	TRUE	FALSE	FALSE	FALSE	FALSE					
Level_A	The oranges are __.	each one ten  pence	ten pence the piece	each ten pence	ten pence each	3	2	FALSE	3	FALSE	2	FALSE	2	FALSE	FALSE	TRUE	FALSE	FALSE					
Level_A	I'm no good __ French.	at	on	for	by	0	2	TRUE	2	TRUE	0	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE					
Level_A	The old man  tripped and fell __ the stairs.	from	off	down	under	2	0	TRUE	0	FALSE	1	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	__ you fond of jazz?	is	am	have	are	3	0	TRUE	3	FALSE	3	FALSE	0	FALSE	FALSE	TRUE	TRUE	FALSE					
Level_A	Why __ a car?	don't you  got?	haven't you got?	haven't you get	haven't got you	1	2	TRUE	0	TRUE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Is that John's wife? No. John __ married.	he isn't	doesn't  get	isn't	isn't be	2	2	TRUE	2	FALSE	2	FALSE	2	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	__ the bus to work.	Always Roberts  catches	Roberts always catches	Roberts catches always	Roberts does  always catches	1	0	TRUE	2	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	I asked him __.	to not go  away	to go not away	not to go away	go not away.	2	3	TRUE	2	TRUE	3	FALSE	3	FALSE	FALSE	TRUE	FALSE	FALSE					
Level_A	What __ your friend? Was she at the party?	time	about	did	was	1	3	TRUE	1	FALSE	1	FALSE	3	FALSE	FALSE	TRUE	TRUE	FALSE					
Level_A	I always go shopping  __ Monday morning.	on	by	next	at	0	0	TRUE	0	FALSE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	Of course  she would come to the meeting if you __ her.	asked	have asked	will ask	have been  asked	0	0	TRUE	0	TRUE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	I wouldn't believe what she says. She sounds very  convincing but she's just a fast __.	talker	eyes	one	ride	0	2	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	I've never heard  such a load of cock and __ in my life.	pack	bull	fishy	business	1	3	TRUE	3	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	The __  built onto the back of the house provided valuable extra space.	extension	expansion	development	growth	0	2	TRUE	2	FALSE	1	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE					
Level_A	The  bank is on __ side of the street.	another	other	the other	the rest	2	1	TRUE	2	TRUE	2	FALSE	1	FALSE	FALSE	TRUE	TRUE	FALSE					
Level_A	"Before it was sold, the broken machine was cleaned and __."	looked  for	put right	kept up	given back	1	0	TRUE	0	FALSE	2	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	We  are not used to __ in a cold climate.	lived	live	living	lives	2	1	TRUE	1	FALSE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	I live  __ 42 Satorn Road.	in	on	at	zero	2	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	He's very short: __ sisters are taller.	both of  them	his both	both his	the two both his	2	2	TRUE	2	FALSE	1	FALSE	1	FALSE	TRUE	TRUE	FALSE	FALSE					
Level_A	When  __ dinner.	have you	do you have	you have	you are  having	1	0	TRUE	2	FALSE	2	FALSE	2	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Kate is the best __ the three.	in	from	than	of	3	3	TRUE	3	FALSE	3	FALSE	0	FALSE	TRUE	TRUE	TRUE	FALSE					
Level_A	- Are you ready? - __.	Already  not	Quite not	Yet not	Not quite	3	0	TRUE	3	FALSE	0	FALSE	0	TRUE	FALSE	TRUE	FALSE	FALSE					
Level_A	Leave your dirty  shoes __ the door.	out from	out	outside	out of	2	1	TRUE	3	FALSE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	He  __ swim very well.	not can	cannot	doesn't can	don't can	1	0	TRUE	1	FALSE	1	FALSE	1	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	Peter  works in London. __.	He goes there by train	He there goes by train.	He goes by train  there.	There goes he by train.	0	0	TRUE	2	FALSE	0	FALSE	0	FALSE	TRUE	FALSE	TRUE	TRUE					
Level_A	Yeuk Yee had her house painted  white yesterday. = __	She had to paint her house white yesterday.	Her house was not  blue last week.	They painted her house white for her  yesterday.	She painted her house yesterday.	2	3	FALSE	3	FALSE	3	FALSE	3	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	The hotel is __.	sell	for sale	for sell	sale	1	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	- Can we begin the  test? - We can't unless the teacher __ so.	will  say	is saying	shall say	says	3	3	TRUE	3	FALSE	3	FALSE	3	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	"""You are  late"" he said. ""I think the bus __ already."""	went	was going	has gone	goes	2	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	We  wondered who was going to pay for the __ window.	broken	breaking	broke	break	0	3	TRUE	3	FALSE	3	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE					
Level_A	The pond near your  house is full __ white lilies.	with	of	to	zero	1	2	TRUE	1	FALSE	1	FALSE	0	FALSE	FALSE	TRUE	TRUE	FALSE					
Level_A	His landlady  doesn't __ of his having parties.	appreciate	support	approve	agree	2	1	FALSE	1	FALSE	1	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	I drink __ coffee than you.	little	few	less	fewer	2	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	I bought her a new  pencil sharpener __.	it is very expensive	which was very  expensive	hose colour was black	it will be vey expensive	1	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	The news __ as soon as possible.	release	will release	will have been released	will be  released	3	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	This book is __.	belonged to  Som	belong to Som	Som's	of Som	2	3	FALSE	3	FALSE	2	FALSE	2	FALSE	FALSE	FALSE	TRUE	TRUE					
Level_A	Suda told  __ the whole story.	to me	me	I	my	1	2	FALSE	1	FALSE	1	FALSE	1	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	"It's a  small shop, and you may have some difficulty __ it."	to  find	of finding	in finding	to be finding	2	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	__ a crowd in the street.	It's	There  is	That's	Is	1	3	TRUE	3	TRUE	3	FALSE	3	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Our house has four bedrooms: I  have the __.	most smallest	more small	smaller	smallest	3	2	TRUE	2	FALSE	3	FALSE	2	FALSE	FALSE	FALSE	TRUE	FALSE					
Level_A	"Mrs Lee's son has a car, but he prefers to use __."	his  mother	his mothers'	hers	her	2	3	TRUE	3	FALSE	3	FALSE	2	FALSE	FALSE	FALSE	FALSE	TRUE					
Level_A	What do you think  __ this new record?	of	from	on	for	0	0	TRUE	0	TRUE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	They are all  __ ready for the party.	getting	going	doing	putting	0	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	Nuri is  out: he's __ a pint of milk.	for	gone to	gone for	went for	2	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	The pen  is __ the book and the file.	under	between	inside	among	1	0	TRUE	0	FALSE	3	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	You must  get __ the bus here.	of	off	out	from	1	0	TRUE	3	FALSE	1	FALSE	0	FALSE	FALSE	FALSE	TRUE	FALSE					
Level_A	Are these  books __?	your or John's	yours or John's	your's or  John's	yours' or Johns'	1	0	TRUE	3	FALSE	3	FALSE	3	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Mr Brown's friends __  interested in your work.	are	have	has	is	0	3	TRUE	0	TRUE	0	FALSE	0	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	Someone  offers you a drink. You don't want it. What do you say ? = __	Thank  you	Please	No thank you	No please	2	1	TRUE	1	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	He  speaks English very well __ he's only 12.	whereas	despite	in spite of	although	3	3	TRUE	3	FALSE	3	FALSE	0	FALSE	TRUE	TRUE	TRUE	FALSE					
Level_A	Susan __ to clean the car at the weekend.	hasn't  have	doesn't have	doesn't has	don't have	1	0	TRUE	3	FALSE	3	FALSE	3	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"__ patient, and you will succeed."	Be	Being	To be	Are	0	0	TRUE	2	FALSE	1	FALSE	0	FALSE	TRUE	FALSE	FALSE	TRUE					
Level_A	He's not the sort of  person to trust. He's a bad __.	talker	snake	eel	egg	3	3	TRUE	0	FALSE	0	FALSE	0	FALSE	TRUE	FALSE	FALSE	FALSE					
Level_A	He died __  hunger and cold.	by	of	with	for	1	1	TRUE	1	TRUE	1	FALSE	0	FALSE	TRUE	TRUE	TRUE	FALSE					
Level_A	Eric now  rides his bike to work instead of __ by bus.	travel	travelling	trvels	to travel	2	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	The  reason __ he's late is that he had an accident.	which	in which	that	why	3	2	TRUE	2	FALSE	2	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	The boy __ is  here.	whose sick sister	whose sister sick	who his sister  is sick	whose sister is sick	3	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	This is the first time I  __ the experiment on plant breeding.	have  done	do	would do	did	0	1	TRUE	1	FALSE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Dick and Joan greeted __.	himself	herself	themselves	each other	3	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Come tomorrow and  __ your books with you.	take	bring	fetch	hold	1	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	It's very  dark here: please switch the light __.	off	up	on	in	2	2	TRUE	2	FALSE	0	FALSE	0	FALSE	TRUE	TRUE	FALSE	FALSE					
Level_A	"Is the day sunny? No, __  is dark."	they	its	it's	it	3	2	TRUE	3	FALSE	3	FALSE	0	FALSE	FALSE	TRUE	TRUE	FALSE					
Level_A	Betty is my  friend. She is a friend of __.	me	my	mine	I	2	1	TRUE	1	FALSE	2	FALSE	2	FALSE	FALSE	FALSE	TRUE	TRUE					
Level_A	When do you go __ bed?	to	to the	in	in the	0	0	TRUE	0	TRUE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	He is __ a  jacket.	wearing	carrying	having	holding	0	2	TRUE	2	TRUE	2	FALSE	0	FALSE	FALSE	FALSE	FALSE	TRUE					
Level_A	Smith  went abroad last year. __ abroad before.	He had never  been	He had been never	He never went	He went never	0	2	TRUE	2	FALSE	3	FALSE	2	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Would you mind __ the door?	open	to open	opening	to opening	2	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	__ your glasses on the table?	Is	Are	These	This	1	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"- A: __ you?  - B: Yes, please get my luggage from the car."	Do I  help	Have I help	Can I help	Am I helping	2	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	__ form of transport is as popular as the private car.	No  other	No others	None other	Nothing other	0	0	TRUE	0	FALSE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	Yesterday we did nothing but __.	talking	talked	talk	had talked	3	2	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	We haven't  heard __ the result was.	what	which	that	when	0	2	TRUE	2	TRUE	2	FALSE	2	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"This is the second time that you have been here, __?"	is  it	haven't you	don't you	isn't it	3	0	TRUE	0	TRUE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	They  gave __ looking for her when it grew dark.	up	in	off	out	0	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	This year the  farmers were just able to gather in the __ before the fine weather came to  an end.	collection	seed	plant	harvest	3	2	TRUE	2	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	There  are many __ on television where a team of people have to answer questions.	queries	riddles	quizzes	inquiries	2	3	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	__ you angry with him?	Do	Why	Are	Have	2	2	TRUE	2	TRUE	0	FALSE	0	FALSE	TRUE	TRUE	FALSE	FALSE					
Level_A	- You've been sick quite a few times since you arrived. - I  just can't __ to the cold weather.	have  used	get used	be used	used	1	3	TRUE	3	FALSE	3	FALSE	3	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	I suggest that you should __ them about  their plans.	say with	said	tell to	speak to	3	1	TRUE	1	FALSE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	I know  somebody __ can play the guitar.	he	who	what	that he	1	0	TRUE	1	FALSE	0	FALSE	0	FALSE	FALSE	TRUE	FALSE	FALSE					
Level_A	Did you ask your father  __ some money?	-	after	on	for	3	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"Do you like  Greek food? Yes, __."	it's very well.	I like	is good	I do	3	1	TRUE	3	FALSE	3	FALSE	1	FALSE	FALSE	TRUE	TRUE	FALSE					
Level_A	You look  __ in red!	most nicely	too nice	nicely	very nice	3	2	TRUE	2	FALSE	2	FALSE	2	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"We  know their address, but they don't know __."	ours	their's	our's	our	0	1	TRUE	1	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE					
Level_A	I'd rather be a millionaire. =  __	I've been a millionaire.	I'd better be a  millionaire.	I'd prefer to be a millionaire.	You have more  millions than me.	2	1	TRUE	0	TRUE	1	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Can you use __ computer?	a	one	two	an	0	0	TRUE	0	TRUE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	Under no circumstances __  or exchanged.	good will be returned	goods should be  returned	can good be returned	are goods being returned	2	0	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Frank  __ when he noticed a large packing case lying on the floor.	has about to  leave	had about to leave	is about to leave	was about to  leave	3	2	TRUE	3	FALSE	3	FALSE	0	FALSE	FALSE	TRUE	TRUE	FALSE					
Level_A	He __ newspapers for ten years.	is  selling	sells	has been selling	has been sold	2	1	TRUE	1	FALSE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	This luggage is quite similar to __.	that  one	those	in additional	that	3	3	TRUE	3	FALSE	1	FALSE	1	FALSE	TRUE	TRUE	FALSE	FALSE					
Level_A	Margaret  as well as Jane __ here since last week.	has  been	was	were	have been	0	1	TRUE	1	FALSE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	The doctor  showed the new nurse __ to do.	what	that	how	as	0	1	TRUE	2	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	TRUE	TRUE					
Level_A	Frede came to the  meeting but Charles __.	isn't	hasn't	didn't	wasn't	2	1	FALSE	3	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	What does he __ for a living.	make	does	do	makes	2	1	TRUE	2	TRUE	2	FALSE	2	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	He was __ of  all his money.	stolen	robbed	removed	taken	1	3	TRUE	3	TRUE	3	FALSE	3	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	The murderer was __ yesterday.	hanging	hung	hanged	hang	2	3	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Don't  let your brothers __ the present.	to  see	seeing	seen	see	2	3	TRUE	3	FALSE	1	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	"No, thank you, I  don't __ sugar in tea."	take	put	eat	drink	0	0	TRUE	0	FALSE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	They __ last weekend.	had swim	went for  swimming	went swimming	were swim	2	0	TRUE	3	FALSE	3	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	I'm no good __  mathematics	by	for	on	at	3	1	TRUE	1	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Which  __?	your house is it	it is your house	is your  house	your house	2	3	TRUE	3	TRUE	3	FALSE	3	TRUE	FALSE	FALSE	FALSE	FALSE					
Level_A	I don't need __ to help me.	anyone	no  one	an one	nobody	0	0	TRUE	0	FALSE	0	FALSE	0	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	Aeroplanes __ and land  every minute.	get off	get up	fly up	take off	3	1	FALSE	1	FALSE	1	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	I  __ a lot of work to do today.	am	have	can	has	1	1	TRUE	1	TRUE	1	FALSE	1	FALSE	TRUE	TRUE	TRUE	TRUE					
Level_A	I'd like __ you tomorrow  morning.	to see	to seeing	seeing	will  see	0	0	TRUE	0	TRUE	2	FALSE	2	FALSE	TRUE	TRUE	FALSE	FALSE					
Level_A	I think he __ football now.	is playing	has  played	plays	played	0	3	TRUE	3	TRUE	2	FALSE	2	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	She always __ to her  friend when she is abroad.	writes	had written	is writing	write	0	2	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	"If Muriel had come, she would have won. = __"	"If she hadn't  won, she'd have come."	Muriel didn't win because she didn't  come.	When Muriel came she always won.	"She didn't come, but she won  anyway."	1	0	FALSE	0	FALSE	2	FALSE	2	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	Will you be __ kind as to help me with this heavy  box?	as	so	very	enough	1	0	TRUE	2	FALSE	1	FALSE	0	FALSE	FALSE	FALSE	TRUE	FALSE					
Level_A	"__ the price, they are prepared to pay."	However	Whichever	Whatever	Whoever	2	0	TRUE	2	FALSE	2	FALSE	0	FALSE	FALSE	TRUE	TRUE	FALSE					
Level_A	"- The  fund-raising drive was a success - Yes, Mr Smith gave a thousand dollars and  __ ."	so did I	I did so	I did give  too	I also did give	0	0	TRUE	1	FALSE	2	FALSE	2	FALSE	TRUE	FALSE	FALSE	FALSE					
Level_A	- Why didn't you attend the concert?  - I would have gone if I __ time.	have  had	have	would have	had had	3	1	TRUE	2	FALSE	2	FALSE	1	FALSE	FALSE	FALSE	FALSE	FALSE					
Level_A	__ heat from the sun there would be no life on Earth.	Except	Without	If there is no	Despite	1	1	TRUE	3	FALSE	0	FALSE	0	FALSE	TRUE	FALSE	FALSE	FALSE					
Level_A	They  said they had the European rights for the product but it was a lie. They were  acting under false __.	pretences	eel	egg	wool	0	2	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	TRUE	TRUE	TRUE					
Level_A	"Your father usually has lunch at home, __  he?"	hasn't	does	doesn't	didn't	2	0	TRUE	1	FALSE	1	FALSE	0	FALSE	FALSE	FALSE	FALSE	FALSE					
