ID	Content	A	B	C	D
150	The volume of Hawaii's Mauna Loa is fifty times  __ Mount Everest.	of	more of	that of	than  of
151	__ categorized as lipids.	Fats and also  oils	While fats and oils	Fats and oils are	Fats and  oils
152	Ben would have studied medicine if he__to a medical  school.	could be able to enter	had been admitted	was  admitted	were admitted
153	The jurors were told to __.	talk all they  wanted	make lots of expressions	speak freely	talk with their  minds open
154	"We had hoped __ the game, but the other team  played very well."	State University to win	that State University  win	that State University would win	State University's  winning
155	The U.S. postal service policy for check approval  includes a requirement that two pieces of identification __.	must  present	presented	be presented	for  presentation
156	"In order for people who spoke different languages to  engage in trade __ , they often developed a simplified language called  ""pidgin""."	with each the other	with each to the  other	with each another	with each other
157	"The Supreme  Court does not hear a case unless __ , except those involving foreign  ambassadors."	a trial	already tried	it already  trying	it has already been tried
158	Past experience has shown  that even well-trained __ overwhelming success in forecasting interest  rates.	experts do not always have	do not always have  experts	there are experts who do not always have	always do not  have experts
159	The financial manager's job __ among the many  sources of finance for the best interest rates available.	to shop around  is	to shop around it is	is it to shop around	is to shop  around
160	The All Pueblo Council is said __ from 1598.	to  date	it dates	dating	dated
161	"When Henry arrived home after a hard day at  work, __."	his wife was sleeping	his wife slept	his wife has  slept	his wife has been sleeping
162	"Kitchen appliances called  blenders became __ in the 1930s, when Stephen J. Poplawski developed a  machine that excelled at making his favorite drink."	establish	establishing	established	which establish
163	Sometimes __ wears people out and is worse than the lack of sleep itself.	to sleep the  desire	the desire to sleep	to desire sleep is	the desire to sleep  who
164	John said that no other car could go __.	so fast like his  car	as fast like his car	as fast like the car of him	as fast as his  car
165	The attorney told his client that __.	they had little chance of  winning the case	the case was of a small chance to  win	it was nearly impossible to win him the case	the case had a  minimum chance to be won by him
166	Doctoral students who are  preparing to take their qualifying examinations have been studying in the  library every night __ the last three months.	since	until	before	for
167	The Internal Revenue Service  __ their tax forms by April 15 every year.	makes all Americans  file	makes all Americans to file	makes the filing of  Americans	makes all Americans filing
168	"__ pitched his first  major-league game, Joe Nuxhall was only fifteen years old."	Because of  he	He	When he	Surprisingly he
169	__  occasions for congratulations.	Birthdays that usually considered	Usually considering  birthdays	Birthdays are usually considered	That considered birthdays  usually
170	"__, he would have signed his name in the corner."	If he painted  that picture	If he paints that picture	If he had  painted that picture	If he would have painted that  picture
171	"There is evidence to suggest that, at certain times of  the year, smog in the Arctic is thicker __ anywhere else on earth."	of  smog	that smog	smog	than smog
172	The speaker is  __.	very well acquainted with the subject	recognized as an authority  who knows a great deal in terms of the subject	someone who knows well  enough about the subject which he has undertaken to do the  speaking	a person who has close awareness of the subject that he speaks about  so much
173	Sedimentary rocks are formed below the surface of the  earth __ very high temperatures and pressures.	where there  are	there are	where are there	there are  where
174	"In his inaugural speech, John Kennedy __ that we  should not ask what our country could do for us but what we could do for our  country."	said	told	did	got
175	"There are  three kinds of solar eclipses: one is total, another is annular, and __ ."	the another is  partial	the partial is other	other is partial	the other is  partial
176	Keynes argued that to avoid an economic depression the  government __ spending and lower interest rates.	is	higher	increase	should  increase
177	"A hero of the war of 1812, __ President of the  United States."	Andrew Jackson later became	that Andrew Jackson later  became	who was Andrew Jackson	later became Andrew  Jackson
178	The various types of bacteria are classified according to  __ shaped.	they have	having	how they  are	whose
179	Franchising offers many advantages to small  business owners __ problematic.	however it  is	even though it is	despite its	it is
180	Jane  changed her major from French to business __	with hopes to  be able easier to locate employment	hoping she can easier get a  job	with the hope for being able to find better a job	hoping to find  a job more easily.
181	"Since the earth's crust is much thicker under  the continents, equipment would have to be capable of drilling through 100,000  feet of rock to investigate the mantle __ ."	beneath them	beneath  their	beneath its	beneath they
182	Drivers should look  very carefully __ onto the main street.	when turning	they  turn	turn	when they turning
183	The professor's  daughter taught __ to play the guitar.	himself	hers	herself	his
184	The people of Western Canada  have been considering __ themselves from the rest of the provinces.	to separate	separated	separate	separating
185	"The greater the demand,  __ the price."	higher	high	the higher	the high
186	"Many  plants can grow in water, without any soil, __ nutrients are added."	as long as	sure  that	above all	of necessity
187	The teacher suggested  that her students __ experiences with ESP.	write a composition on  their	to write composition about the	wrote some compositions of his  or her	had written any compositions for his
188	It was not until  she arrived in class__ realized she had forgotten her book.	and she	when  she	she	that she
189	"The Louisiana Territory,  an area __ the size of France, was bought by the United States from France  for $15,000,000 in 1803."	than more four times	more than four times	four times than  more	is four times more than
190	"Although one of his ships  succeeded in sailing all the way back to Spain through the Cape of Good Hope,  Magellan never completed the first circumnavigation of the world, and __."	and most of his  crew didn't too	neither most of his crew did	neither did  most of his crew	and most of his crew didn't also
191	"__ ""cultural diffusion"" refers to the spread of customs or practices from  one culture to another."	To phrase	Phrased	To the  phrase	The phrase
192	Amniocentesis can be used not only to  diagnose fetal disorders __ the sex of the unborn child with 95 percent  accuracy.	but determining	but also determining	but to  determine	but also to determine
193	The adder is a venomous snake  __ bite may prove fatal to humans.	its	whom its	that	whose
194	__ of the  Stamp Act in 1865 provoked strong opposition among the American colonists.	The passage  was	It was the passage	Before the passage	The  passage
195	An elephant can lift __ a ton with its tusks.	so much  that	them	most	as much as
196	The human  brain __ only two percent of an adult's body weight.	which makes  up	it makes up	makes it up	makes up
197	Chemists are not sure __ .	how precisely can cold fusion  occur	cold fusion can occur precisely how	precisely how cold fusion  can occur	can cold fusion occur precisely how
198	"In the 1960s, pop  art __ to discover artistic significance in the commercial artifacts of  the consumer culture."	seeking	to seek	has sought	sought
199	Nestled along the shoreline of Hudson Bay __.	are several  recently settled Inuit communities	several recently settled Inuit  communities are there	near several recently settled Inuit  communities	is where several recently settled Inuit  communities
200	Glass that has been tempered may be up to __.	five times as  hard as ordinary glass	as hard as ordinary glass five  times	as hard as ordinary glass times five	ordinary glass as hard as  five times
201	"If more than five thousand dollars in  monetary instruments is transported into the United States, a report needs  __ with the customs office."	file	filing	to file	to be filed
202	"Of  Charles Dickens' many novels, ""Great Expectations"" is perhaps __ to many  readers."	the most satisfying one	most satisfying one	more than  satisfying one	the more satisfying than
203	Rarely  __ to the movie because he prefers to watch films on his VCR.	going	does John  go	John does go	John goes
204	We all know that speaking  foreign languages is the best way to learn __.	them	it	ours	us
205	"Her grades have improved, but  only __."	in a small amount	very slightly	minimum	some
206	All the cereal grains __ grow on the prairies and plains of the United  States.	but rice	except the rice	but for rice	excepting  rice
207	"__ the bones of prehistoric man, scientists hope to  determine what their owners ate."	By studying	In study of	To study	Studying
208	"__, Cart Sandburg is also well known for his  multivolume biography of Lincoln."	An eminent American poet	He is an eminent American  poet	An eminent American poet who is	Despite an eminent American  poet
209	"Modern industrial methods have supplanted individual crafts,  __ stonecarvers, coopers, and cobblers virtually extinct."	"make  blacksmiths,"	"made blacksmiths,"	"making them  blacksmiths,"	"making blacksmiths,"
210	Lobbyists who  represent special interest groups get __ that benefits their groups.	Congress to  pass the legislation	Congress passed the  legislation	the legislation to pass by  Congress	the legislation that Congress passing
211	"By careful  seeding, weather makers can encourage two small clouds to merge into one big  cloud __ produce a powerful thunderstorm."	so	these	which	and
212	It is usually  __ lava but gas that kills people during volcanic eruptions.	not  only	not	neither	no
213	The Disney  amusement park in Japan is __ Florida or California.	the largest  than the ones in	larger than the ones in	larger the ones  in	the largest of the ones
214	"Jackson, Mississippi,  __ capital, is the largest city in the state."	the	where is the	is the	it is the
215	Anthropologists __ within their environments and evaluate the adaptations  they have made.	societies are studied	study societies	who study  societies are	their societies are studied
216	"For  thousands of years, people have used vast amounts of wood for building and  __ their homes."	they heat	to heat	heating	heat
217	__ of the United States grown during a Republican  administration.	Rarely the federal government has	Rarely has the federal  government	Has the federal government  rarely	The federal government has rarely
218	Overexposure to the  sun can produce __ can some toxic chemicals.	more than  damage to the skin	more damage than to the skin	damage more  than to the skin	more damage to the skin than
219	"Balinese cats, which are a cross between Siamese and long-haired cats, __  medium length silky coats of fur."	they have	have	which  have	having
220	"If one is suffering from a psychosomatic  illness, that is, a disease contributed to by mental anxiety, one may still feel  very __ ."	badly	bad	worsely	worser
221	__ did Arthur realize that there was  danger.	Upon entering the store	When he entered the  store	After he had entered the store	Only after entering the  store
222	"In mathematics, a variable is a symbol __ some element  of a set."	and representing	represents	that  represents	represents that
223	Few natural elements exist in __  that they are rarely seen in their natural environments.	such small  quantities	so small quantities	very small quantities	small  quantity
224	The janitor refused to unlock the classroom door because  he __ busy.	too	always	was	himself
225	"__, which is the highest in the range, appears challenging."	Climbing the  mountain	The mountains	Up the mountain	The mountain that  is
226	The student managed to pass the entrance examination __  he was blind.	in spite of the fact	because	since	unless
227	John  F.Kennedy was the youngest president of the United States and __ to be  assassinated.	the fourth	fourth	four	the four
228	"__ the formulation of explanatory laws, the first step in scientific  research is the collection and description of facts."	Although science's ultimate  aim is	Although science's ultimate aim it is	Although it is science's  ultimate aim	Although being science's ultimate  aim
229	It is earth's gravity that __ people their weight.	gives	give	giving	given
230	__ that new  information to anyone else but the sergeant	They asked him  not to give	They asked him to don't give	They asked him  no give	They asked him to no give
231	"Considered unique and  exotic, __."	"over 4,000 American households keep the llama as a  pet"	"there are over 4,000 American households that keep the llama as a  pet"	"the llama is kept as a pet in over 4,000 American  households"	"the llama kept as a pet in over 4,000 American  households"
232	Perhaps the oldest theories of business cycles are  __ that linked their cause to fluctuations of the harvest.	whatever	everything	those	them
233	"Oscillatona, one of  the few plants that can move about, __ a wavy, gliding motion."	having	has	being	with
234	The works of  Picasso were quite __ during various periods of his artistic life.	differ	different	different from	different  than
235	"The more hemoglobin one has, the more oxygen is carried to  __ cells."	one	its	their	one's
236	__ can be grown on arid land.	Only a few  crops	Only few crop	Only a little crops	Only little  crop
237	__ air traffic controllers guide planes through  conditions of near zero visibility.	"They talk with  pilots and watch their approach on radar,"	"Talking with pilots and  watching their approach on radar,"	"Talk with pilots and watch their  approach on radar,"	"When they talked with pilots and watched their  approach on radar,"
238	Culture influences the way __.	viewing the  world	that we view the world	the world view	is the view of  the world
239	Overexposure to the sun causes __ health  problems.	various	among	but	of
240	The doctor  told his receptionist that he would return __	as early as it  would be possible	at the earliest that in could be  possible	as soon as possible	at the nearest early  possibility
241	It has been estimated that __ one  hundred thousand men participated in the gold rush of 1898.	approximate	until	as many as	more
242	A seventeen-year-old is not  __ to vote in an election.	old enough	as old enough	enough old	enough as  old
243	"As soon as __ with an acid, salt, and sometimes water,  is formed."	a base will react	a base reacts	a base is  reacting	the reaction of a base
244	The Ford Theater where Lincoln  was shot __.	must restore	must be restoring	must have been  restored	must restored
245	The skiers would rather__ through  the mountains than go by bus.	to travel on train	traveled by train	travel by  train	traveling by the train
246	He has received several  scholarships __	not only because of his artistic but his academic  ability	for both his academic ability as well as his  artistic	because of his academic and the artistic ability	as a resulting of  his ability in the art and the academy
247	The doctor insisted that  his patient __	that he not work too hard for three months	take it easy for  three months	taking it easy inside of three  months	to take some vacations for three months
248	Legumes take  nitrogen into their roots __ the air.	except	however	but	from
249	So little __ that he  failed the examination.	did the student know	the student knew	the student had  known	knew the student
250	The belief in life after death is  prevalent in both primitive societies __ advanced cultures.	and	and in	and also	also
